player,span,matches_played,overs,maidens_earned,balls,conceded,wickets,best_innings_bowling,bowling_average,economy_rate,bowling_strike_rate,four_wickets,five_wickets,ten_wickets
D Kandel (KAG),2024-2024,6,16.0,-,96,87,7,3/6,12.42,5.43,13.71,-,-,-
MG Erasmus (KAG),2024-2024,7,25.1,-,151,131,11,3/17,11.90,5.20,13.72,-,-,-
LN Rajbanshi (JAB),2024-2024,10,40.0,5,240,213,17,3/8,12.52,5.32,14.11,-,-,-
K Mahato (JAB),2024-2024,10,33.0,1,198,265,14,4/35,18.92,8.03,14.14,1,-,-
N Saud (SPR),2024-2024,8,14.1,-,85,97,6,5/19,16.16,6.84,14.16,-,1,-
RK Paudel (LUL),2024-2024,7,19.0,-,114,107,8,4/17,13.37,5.63,14.25,1,-,-
Harmeet Singh (SPR),2024-2024,5,20.0,2,120,90,8,3/17,11.25,4.50,15.00,-,-,-
NK Yadav (KAY),2024-2024,9,23.3,1,141,177,9,3/19,19.66,7.53,15.66,-,-,-
WG Bosisto (KAY),2024-2024,7,24.0,1,144,164,9,6/28,18.22,6.83,16.00,-,1,-
Abhishesh Gautam (LUL),2024-2024,4,16.0,-,96,78,6,3/20,13.00,4.87,16.00,-,-,-
JN Loftie-Eaton (CHR),2024-2024,3,8.0,-,48,56,3,2/18,18.66,7.00,16.00,-,-,-
A Yadav (JAB),2024-2024,5,8.0,-,48,69,3,2/16,23.00,8.62,16.00,-,-,-
RR Simmonds (LUL),2024-2024,7,24.2,-,146,194,9,2/21,21.55,7.97,16.22,-,-,-
DS Airee (SPR),2024-2024,9,25.0,-,150,175,9,3/29,19.44,7.00,16.66,-,-,-
Saad Bin Zafar (LUL),2024-2024,7,25.0,-,150,171,9,3/21,19.00,6.84,16.66,-,-,-
S Malla (JAB),2024-2024,8,19.3,-,117,132,7,3/11,18.85,6.76,16.71,-,-,-
A Kharel (BIK),2024-2024,5,14.0,-,84,123,5,3/26,24.60,8.78,16.80,-,-,-
H Thaker (JAB),2024-2024,10,31.0,2,186,197,11,5/23,17.90,6.35,16.90,-,1,-
K Bhurtel (POA),2024-2024,7,14.1,-,85,113,5,2/27,22.60,7.97,17.00,-,-,-
Mohammad Mohsin (JAB),2024-2024,9,34.3,2,207,200,12,3/40,16.66,5.79,17.25,-,-,-
Rashid Khan (KAG),2024-2024,7,17.2,-,104,136,6,3/43,22.66,7.84,17.33,-,-,-
Kushal Malla (CHR),2024-2024,8,27.0,-,162,176,9,2/18,19.55,6.51,18.00,-,-,-
CB Sole (BIK),2024-2024,7,27.0,-,162,200,9,2/21,22.22,7.40,18.00,-,-,-
S Jora (LUL),2024-2024,7,3.0,-,18,22,1,1/13,22.00,7.33,18.00,-,-,-
BWM Mike (JAB),2024-2024,1,3.0,-,18,29,1,1/29,29.00,9.66,18.00,-,-,-
Basir Ahamad (BIK),2024-2024,7,19.0,1,114,123,6,2/22,20.50,6.47,19.00,-,-,-
B McMullen (SPR),2024-2024,9,19.0,1,114,129,6,3/21,21.50,6.78,19.00,-,-,-
A Bohara (SPR),2024-2024,9,23.0,1,138,173,7,3/17,24.71,7.52,19.71,-,-,-
Zeeshan Maqsood (KAY),2024-2024,9,33.0,-,198,177,10,3/26,17.70,5.36,19.80,-,-,-
Sompal Kami (KAY),2024-2024,9,29.5,1,179,240,9,2/22,26.66,8.04,19.88,-,-,-
DA Douthwaite (KAG),2024-2024,4,6.5,-,41,50,2,1/14,25.00,7.31,20.50,-,-,-
Ismat Alam (BIK),2024-2024,3,7.0,-,42,72,2,1/21,36.00,10.28,21.00,-,-,-
D Gupta (LUL),2024-2024,5,11.0,-,66,104,3,3/21,34.66,9.45,22.00,-,-,-
JDS Neesham (JAB),2024-2024,9,26.0,-,156,233,7,2/29,33.28,8.96,22.28,-,-,-
Shahab Alam (KAG),2024-2024,7,23.0,-,138,125,6,3/20,20.83,5.43,23.00,-,-,-
Subash Bhandari (BIK),2024-2024,3,4.1,-,25,31,1,1/27,31.00,7.44,25.00,-,-,-
RA Reifer (POA),2024-2024,7,21.0,-,126,164,5,2/33,32.80,7.80,25.20,-,-,-
RS Bopara (CHR),2024-2024,8,9.0,-,54,58,2,1/8,29.00,6.44,27.00,-,-,-
UBS Thakuri (KAY),2024-2024,5,9.0,-,54,64,2,1/17,32.00,7.11,27.00,-,-,-
S Lamichhane (BIK),2024-2024,7,28.0,-,168,191,6,3/19,31.83,6.82,28.00,-,-,-
B Yadav (LUL),2024-2024,6,14.5,-,89,171,3,1/9,57.00,11.52,29.66,-,-,-
S Dhakal (POA),2024-2024,7,25.0,-,150,164,5,2/15,32.80,6.56,30.00,-,-,-
Basil Hameed (CHR),2024-2024,2,6.0,-,36,53,1,1/15,53.00,8.83,36.00,-,-,-
M Levitt (KAG),2024-2024,7,6.0,-,36,45,1,1/13,45.00,7.50,36.00,-,-,-
S Vesawkar (CHR),2024-2024,4,6.0,-,36,53,1,1/37,53.00,8.83,36.00,-,-,-
R Kumar (CHR),2024-2024,5,14.0,-,84,120,2,1/26,60.00,8.57,42.00,-,-,-
Aqib Ilyas (BIK),2024-2024,2,7.0,-,42,50,1,1/31,50.00,7.14,42.00,-,-,-
MA Leask (POA),2024-2024,7,22.0,1,132,156,3,1/17,52.00,7.09,44.00,-,-,-
Gulsan Jha (KAY),2024-2024,9,8.0,-,48,63,1,1/31,63.00,7.87,48.00,-,-,-
MJJ Critchley (POA),2024-2024,4,9.0,-,54,96,1,1/29,96.00,10.66,54.00,-,-,-
NA Sowter (KAG),2024-2024,3,9.0,-,54,86,1,1/32,86.00,9.55,54.00,-,-,-
Surya Tamang (LUL),2024-2024,4,14.5,-,89,111,1,1/18,111.00,7.48,89.00,-,-,-
Aakash Chand (POA),2024-2024,4,7.0,-,42,74,-,-,-,10.57,-,-,-,-
Aarif Sheikh (SPR),2024-2024,9,0.0,-,0,-,-,-,-,-,-,-,-,-
Aasif Sheikh (JAB),2024-2024,10,0.0,-,0,-,-,-,-,-,-,-,-,-
D Adhikari (LUL),2024-2024,2,2.0,-,12,31,-,-,-,15.50,-,-,-,-
S Aryal (POA),2024-2024,1,2.0,-,12,19,-,-,-,9.50,-,-,-,-
Babar Hayat (KAY),2024-2024,5,0.0,-,0,-,-,-,-,-,-,-,-,-
DS Bajwa (SPR),2024-2024,1,0.0,-,0,-,-,-,-,-,-,-,-,-
B Bhandari (SPR),2024-2024,9,0.0,-,0,-,-,-,-,-,-,-,-,-
N Bhatta (BIK),2024-2024,2,0.0,-,0,-,-,-,-,-,-,-,-,-
D Bohara (BIK),2024-2024,6,0.0,-,0,-,-,-,-,-,-,-,-,-
NB Budayair (SPR),2024-2024,9,0.0,-,0,-,-,-,-,-,-,-,-,-
UBT Chand (LUL),2024-2024,4,0.0,-,0,-,-,-,-,-,-,-,-,-
BCJ Cutting (LUL),2024-2024,3,0.0,-,0,-,-,-,-,-,-,-,-,-
TR Das (POA),2024-2024,1,0.0,-,0,-,-,-,-,-,-,-,-,-
H Dhami (JAB),2024-2024,2,0.0,-,0,-,-,-,-,-,-,-,-,-
S Dhawan (KAY),2024-2024,4,0.0,-,0,-,-,-,-,-,-,-,-,-
SA Edwards (BIK),2024-2024,3,0.0,-,0,-,-,-,-,-,-,-,-,-
SS Eskinazi (KAG),2024-2024,7,0.0,-,0,-,-,-,-,-,-,-,-,-
A Gharti (KAY),2024-2024,9,0.0,-,0,-,-,-,-,-,-,-,-,-
A Ghiraiya (LUL),2024-2024,6,0.0,-,0,-,-,-,-,-,-,-,-,-
AP Gomel (POA),2024-2024,1,1.0,-,6,13,-,-,-,13.00,-,-,-,-
AGS Gous (POA),2024-2024,6,0.0,-,0,-,-,-,-,-,-,-,-,-
MJ Guptill (BIK),2024-2024,6,0.0,-,0,-,-,-,-,-,-,-,-,-
Hassan Eisakhil (CHR),2024-2024,6,0.0,-,0,-,-,-,-,-,-,-,-,-
N Joshi (POA),2024-2024,6,2.0,-,12,31,-,-,-,15.50,-,-,-,-
S Kansakar (JAB),2024-2024,10,0.0,-,0,-,-,-,-,-,-,-,-,-
B Karki (KAY),2024-2024,2,5.0,-,30,39,-,-,-,7.80,-,-,-,-
S Karki (CHR),2024-2024,8,0.0,-,0,-,-,-,-,-,-,-,-,-
D Khanal (KAY),2024-2024,9,2.0,-,12,22,-,-,-,11.00,-,-,-,-
