player,overs,maidens_earned,runs conceded,wickets taken,economy_rate,team,opposition,ground,match_date
Mohammad Mohsin,4.0,-,20,1,5.00,Janakpur,v Biratnagar,Kirtipur,30 Nov 2024
Shahab Alam,4.0,-,20,3,5.00,Kathmandu,v Chitwan,Kirtipur,02 Dec 2024
BFW de Leede,4.0,-,20,2,5.00,Pokhara,v Chitwan,Kirtipur,03 Dec 2024
S Dhakal,4.0,-,20,-,5.00,Pokhara,v Janakpur,Kirtipur,05 Dec 2024
Rashid Khan,4.0,-,20,2,5.00,Kathmandu,v S Paschim,Kirtipur,05 Dec 2024
BP Sharma,4.0,1,20,2,5.00,Karnali,v Biratnagar,Kirtipur,07 Dec 2024
Abhishesh Gautam,4.0,-,20,3,5.00,Lumbini,v Janakpur,Kirtipur,08 Dec 2024
Mohammad Mohsin,4.0,-,20,2,5.00,Janakpur,v Kathmandu,Kirtipur,12 Dec 2024
DS Airee,4.0,-,20,2,5.00,S Paschim,v Karnali,Kirtipur,16 Dec 2024
DA Douthwaite,3.0,-,15,1,5.00,Kathmandu,v Chitwan,Kirtipur,02 Dec 2024
SC Kuggeleijn,2.0,-,10,-,5.00,S Paschim,v Kathmandu,Kirtipur,05 Dec 2024
Sohail Tanvir,4.0,-,21,5,5.25,Chitwan,v Kathmandu,Kirtipur,02 Dec 2024
D Gupta,4.0,-,21,3,5.25,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
BP Sharma,4.0,-,21,3,5.25,Karnali,v Chitwan,Kirtipur,06 Dec 2024
B McMullen,4.0,-,21,3,5.25,S Paschim,v Lumbini,Kirtipur,07 Dec 2024
WG Bosisto,4.0,-,21,1,5.25,Karnali,v Biratnagar,Kirtipur,07 Dec 2024
Saad Bin Zafar,4.0,-,21,1,5.25,Lumbini,v Chitwan,Kirtipur,10 Dec 2024
Saad Bin Zafar,4.0,-,21,3,5.25,Lumbini,v Kathmandu,Kirtipur,11 Dec 2024
S Lamichhane,4.0,-,21,-,5.25,Biratnagar,v Pokhara,Kirtipur,12 Dec 2024
MG Erasmus,4.0,-,21,1,5.25,Kathmandu,v Janakpur,Kirtipur,12 Dec 2024
