player,span,matches_played,innings_bowled,balls,overs,maidens_earned,runs,wickets,best_innings_bowling,bowling_average,economy_rate,bowling_strike_rate,four_wickets,five_wickets,ten_wickets
RK Paudel (LUL),2024-2024,7,6,114,19.0,-,107,8,4/17,13.37,5.63,14.25,1,-,-
S Malla (JAB),2024-2024,8,7,117,19.3,-,132,7,3/11,18.85,6.76,16.71,-,-,-
Harmeet Singh (SPR),2024-2024,5,5,120,20.0,2,90,8,3/17,11.25,4.50,15.00,-,-,-
RA Reifer (POA),2024-2024,7,7,126,21.0,-,164,5,2/33,32.80,7.80,25.20,-,-,-
MA Leask (POA),2024-2024,7,7,132,22.0,1,156,3,1/17,52.00,7.09,44.00,-,-,-
Shahab Alam (KAG),2024-2024,7,7,138,23.0,-,125,6,3/20,20.83,5.43,23.00,-,-,-
A Bohara (SPR),2024-2024,9,8,138,23.0,1,173,7,3/17,24.71,7.52,19.71,-,-,-
NK Yadav (KAY),2024-2024,9,8,141,23.3,1,177,9,3/19,19.66,7.53,15.66,-,-,-
Karan KC (KAG),2024-2024,7,7,143,23.5,-,152,12,4/16,12.66,6.37,11.91,1,-,-
WG Bosisto (KAY),2024-2024,7,7,144,24.0,1,164,9,6/28,18.22,6.83,16.00,-,1,-
SA Zaib (SPR),2024-2024,9,9,145,24.1,-,151,12,3/33,12.58,6.24,12.08,-,-,-
RR Simmonds (LUL),2024-2024,7,7,146,24.2,-,194,9,2/21,21.55,7.97,16.22,-,-,-
DS Airee (SPR),2024-2024,9,7,150,25.0,-,175,9,3/29,19.44,7.00,16.66,-,-,-
S Dhakal (POA),2024-2024,7,7,150,25.0,-,164,5,2/15,32.80,6.56,30.00,-,-,-
Saad Bin Zafar (LUL),2024-2024,7,7,150,25.0,-,171,9,3/21,19.00,6.84,16.66,-,-,-
MG Erasmus (KAG),2024-2024,7,7,151,25.1,-,131,11,3/17,11.90,5.20,13.72,-,-,-
JDS Neesham (JAB),2024-2024,9,9,156,26.0,-,233,7,2/29,33.28,8.96,22.28,-,-,-
CB Sole (BIK),2024-2024,7,7,162,27.0,-,200,9,2/21,22.22,7.40,18.00,-,-,-
Kushal Malla (CHR),2024-2024,8,8,162,27.0,-,176,9,2/18,19.55,6.51,18.00,-,-,-
S Lamichhane (BIK),2024-2024,7,7,168,28.0,-,191,6,3/19,31.83,6.82,28.00,-,-,-
R Dhakal (CHR),2024-2024,8,8,173,28.5,1,232,13,3/10,17.84,8.04,13.30,-,-,-
SC Kuggeleijn (SPR),2024-2024,9,9,173,28.5,1,210,17,5/18,12.35,7.28,10.17,-,1,-
BP Sharma (KAY),2024-2024,8,8,174,29.0,2,171,13,3/17,13.15,5.89,13.38,-,-,-
Sompal Kami (KAY),2024-2024,9,9,179,29.5,1,240,9,2/22,26.66,8.04,19.88,-,-,-
Sohail Tanvir (CHR),2024-2024,8,8,182,30.2,1,174,14,5/21,12.42,5.73,13.00,-,1,-
H Thaker (JAB),2024-2024,10,9,186,31.0,2,197,11,5/23,17.90,6.35,16.90,-,1,-
K Mahato (JAB),2024-2024,10,10,198,33.0,1,265,14,4/35,18.92,8.03,14.14,1,-,-
Zeeshan Maqsood (KAY),2024-2024,9,9,198,33.0,-,177,10,3/26,17.70,5.36,19.80,-,-,-
Mohammad Mohsin (JAB),2024-2024,9,9,207,34.3,2,200,12,3/40,16.66,5.79,17.25,-,-,-
LN Rajbanshi (JAB),2024-2024,10,10,240,40.0,5,213,17,3/8,12.52,5.32,14.11,-,-,-
