player,overs,maidens_earned,runs conceded,wickets_taken,bowling_strike_rate,team,opposition,ground,match_date
LN Rajbanshi,4.0,-,28,3,8.00,Janakpur,v Biratnagar,Kirtipur,30 Nov 2024
Shahab Alam,4.0,-,20,3,8.00,Kathmandu,v Chitwan,Kirtipur,02 Dec 2024
SC Kuggeleijn,4.0,-,30,3,8.00,S Paschim,v Biratnagar,Kirtipur,03 Dec 2024
A Kharel,4.0,-,26,3,8.00,Biratnagar,v S Paschim,Kirtipur,03 Dec 2024
LM Benkenstein,4.0,-,37,3,8.00,Chitwan,v Pokhara,Kirtipur,03 Dec 2024
D Gupta,4.0,-,21,3,8.00,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
LN Rajbanshi,4.0,-,31,3,8.00,Janakpur,v Pokhara,Kirtipur,05 Dec 2024
BP Sharma,4.0,-,21,3,8.00,Karnali,v Chitwan,Kirtipur,06 Dec 2024
SA Zaib,4.0,-,33,3,8.00,S Paschim,v Lumbini,Kirtipur,07 Dec 2024
B McMullen,4.0,-,21,3,8.00,S Paschim,v Lumbini,Kirtipur,07 Dec 2024
NK Yadav,4.0,-,19,3,8.00,Karnali,v Biratnagar,Kirtipur,07 Dec 2024
Abhishesh Gautam,4.0,-,20,3,8.00,Lumbini,v Janakpur,Kirtipur,08 Dec 2024
R Dhakal,4.0,-,29,3,8.00,Chitwan,v Lumbini,Kirtipur,10 Dec 2024
Saad Bin Zafar,4.0,-,21,3,8.00,Lumbini,v Kathmandu,Kirtipur,11 Dec 2024
D Kandel,4.0,-,6,3,8.00,Kathmandu,v Lumbini,Kirtipur,11 Dec 2024
LN Rajbanshi,4.0,2,8,3,8.00,Janakpur,v Kathmandu,Kirtipur,12 Dec 2024
Karan KC,4.0,-,24,3,8.00,Kathmandu,v Pokhara,Kirtipur,14 Dec 2024
Rashid Khan,4.0,-,43,3,8.00,Kathmandu,v Pokhara,Kirtipur,14 Dec 2024
MG Erasmus,4.0,-,17,3,8.00,Kathmandu,v Biratnagar,Kirtipur,15 Dec 2024
S Lamichhane,4.0,-,19,3,8.00,Biratnagar,v Kathmandu,Kirtipur,15 Dec 2024
Harmeet Singh,4.0,-,26,3,8.00,S Paschim,v Pokhara,Kirtipur,15 Dec 2024
Harmeet Singh,4.0,-,17,3,8.00,S Paschim,v Karnali,Kirtipur,16 Dec 2024
Zeeshan Maqsood,4.0,-,26,3,8.00,Karnali,v Chitwan,Kirtipur,18 Dec 2024
DS Airee,4.0,-,29,3,8.00,S Paschim,v Janakpur,Kirtipur,18 Dec 2024
BP Sharma,4.0,-,17,3,8.00,Karnali,v Janakpur,Kirtipur,19 Dec 2024
Mohammad Mohsin,4.0,-,40,3,8.00,Janakpur,v S Paschim,Kirtipur,21 Dec 2024
K Mahato,3.0,-,18,2,9.00,Janakpur,v Biratnagar,Kirtipur,30 Nov 2024
Bipin Khatri,3.0,-,28,2,9.00,Pokhara,v Chitwan,Kirtipur,03 Dec 2024
A Bohara,3.0,1,12,2,9.00,S Paschim,v Kathmandu,Kirtipur,05 Dec 2024
Bipin Khatri,3.0,-,18,2,9.00,Pokhara,v Lumbini,Kirtipur,06 Dec 2024
Saad Bin Zafar,3.0,-,11,2,9.00,Lumbini,v Janakpur,Kirtipur,08 Dec 2024
JN Loftie-Eaton,3.0,-,18,2,9.00,Chitwan,v S Paschim,Kirtipur,08 Dec 2024
R Dhakal,3.0,-,33,2,9.00,Chitwan,v S Paschim,Kirtipur,08 Dec 2024
DS Airee,3.0,-,27,2,9.00,S Paschim,v Janakpur,Kirtipur,11 Dec 2024
A Yadav,3.0,-,16,2,9.00,Janakpur,v S Paschim,Kirtipur,11 Dec 2024
Karan KC,3.0,-,10,2,9.00,Kathmandu,v Janakpur,Kirtipur,12 Dec 2024
Zeeshan Maqsood,3.0,-,12,2,9.00,Karnali,v Lumbini,Kirtipur,13 Dec 2024
R Dhakal,3.0,-,19,2,9.00,Chitwan,v Janakpur,Kirtipur,14 Dec 2024
Sompal Kami,3.0,-,22,2,9.00,Karnali,v Chitwan,Kirtipur,18 Dec 2024
NK Yadav,3.0,-,28,2,9.00,Karnali,v Chitwan,Kirtipur,18 Dec 2024
SA Zaib,3.0,-,20,2,9.00,S Paschim,v Janakpur,Kirtipur,18 Dec 2024
RR Simmonds,3.2,-,21,2,10.00,Lumbini,v Kathmandu,Kirtipur,11 Dec 2024
H Thaker,4.0,-,22,2,12.00,Janakpur,v Biratnagar,Kirtipur,30 Nov 2024
Mohammad Mohsin,4.0,-,14,2,12.00,Janakpur,v Karnali,Kirtipur,02 Dec 2024
RA Reifer,4.0,-,38,2,12.00,Pokhara,v Chitwan,Kirtipur,03 Dec 2024
BFW de Leede,4.0,-,20,2,12.00,Pokhara,v Chitwan,Kirtipur,03 Dec 2024
MG Erasmus,4.0,-,29,2,12.00,Kathmandu,v Karnali,Kirtipur,04 Dec 2024
Saad Bin Zafar,4.0,-,35,2,12.00,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
RR Simmonds,4.0,-,33,2,12.00,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
JDS Neesham,4.0,-,29,2,12.00,Janakpur,v Pokhara,Kirtipur,05 Dec 2024
Rashid Khan,4.0,-,20,2,12.00,Kathmandu,v S Paschim,Kirtipur,05 Dec 2024
Zeeshan Maqsood,4.0,-,22,2,12.00,Karnali,v Chitwan,Kirtipur,06 Dec 2024
SC Kuggeleijn,4.0,-,19,2,12.00,S Paschim,v Lumbini,Kirtipur,07 Dec 2024
RR Simmonds,4.0,-,32,2,12.00,Lumbini,v S Paschim,Kirtipur,07 Dec 2024
CB Sole,4.0,-,25,2,12.00,Biratnagar,v Karnali,Kirtipur,07 Dec 2024
Basir Ahamad,4.0,-,22,2,12.00,Biratnagar,v Karnali,Kirtipur,07 Dec 2024
BP Sharma,4.0,1,20,2,12.00,Karnali,v Biratnagar,Kirtipur,07 Dec 2024
RK Paudel,4.0,-,22,2,12.00,Lumbini,v Janakpur,Kirtipur,08 Dec 2024
SC Kuggeleijn,4.0,-,29,2,12.00,S Paschim,v Chitwan,Kirtipur,08 Dec 2024
Kushal Malla,4.0,-,18,2,12.00,Chitwan,v S Paschim,Kirtipur,08 Dec 2024
RR Simmonds,4.0,-,22,2,12.00,Lumbini,v Chitwan,Kirtipur,10 Dec 2024
Harmeet Singh,4.0,2,2,2,12.00,S Paschim,v Janakpur,Kirtipur,11 Dec 2024
S Malla,4.0,-,19,2,12.00,Janakpur,v S Paschim,Kirtipur,11 Dec 2024
MG Erasmus,4.0,-,19,2,12.00,Kathmandu,v Lumbini,Kirtipur,11 Dec 2024
Abhishesh Gautam,4.0,-,16,2,12.00,Lumbini,v Kathmandu,Kirtipur,11 Dec 2024
RA Reifer,4.0,-,33,2,12.00,Pokhara,v Biratnagar,Kirtipur,12 Dec 2024
CB Sole,4.0,-,30,2,12.00,Biratnagar,v Pokhara,Kirtipur,12 Dec 2024
S Dhakal,4.0,-,15,2,12.00,Pokhara,v Biratnagar,Kirtipur,12 Dec 2024
Mohammad Mohsin,4.0,-,20,2,12.00,Janakpur,v Kathmandu,Kirtipur,12 Dec 2024
TR Bhandari,4.0,-,23,2,12.00,Lumbini,v Karnali,Kirtipur,13 Dec 2024
S Lamichhane,4.0,-,28,2,12.00,Biratnagar,v Chitwan,Kirtipur,13 Dec 2024
R Dhakal,4.0,-,40,2,12.00,Chitwan,v Biratnagar,Kirtipur,13 Dec 2024
Sohail Tanvir,4.0,-,23,2,12.00,Chitwan,v Janakpur,Kirtipur,14 Dec 2024
