player,span,matches_played,innings_batted,not_outs,runs_scored,highest_inns_score,batting_average,batting_strike_rate,hundreds_scored,fifties_scored,ducks_scored
Janakpur Bolts (NPL),,,,,,,,,,,
S Rana,2024-2024,4,4,1,41,16,13.66,80.39,-,-,-
Kathmandu Gurkhas (NPL),,,,,,,,,,,
Rashid Khan,2024-2024,7,7,1,29,14,4.83,54.71,-,-,1
Kathmandu Gurkhas (NPL),,,,,,,,,,,
B Rawal,2024-2024,8,5,-,54,18,10.8,84.37,-,-,-
Chitwan Rhinos (NPL),,,,,,,,,,,
RA Reifer,2024-2024,7,6,2,146,41,36.5,107.35,-,-,-
Pokhara Avengers (NPL),,,,,,,,,,,
R Rijal,2024-2024,1,-,-,-,-,-,-,-,-,-
Kathmandu Gurkhas (NPL),,,,,,,,,,,
Rit Gautam,2024-2024,2,2,-,-,-,-,-,-,-,2
Karnali Yaks (NPL),,,,,,,,,,,
Rohan Mustafa,2024-2024,1,1,-,4,4,4,57.14,-,-,-
Sudur Paschim Royals (NPL),,,,,,,,,,,
AS Routela,2024-2024,8,6,2,85,42,21.25,149.12,-,-,-
Chitwan Rhinos (NPL),,,,,,,,,,,
Saad Bin Zafar,2024-2024,7,6,-,83,52,13.83,131.74,-,1,3
Lumbini Lions (NPL),,,,,,,,,,,
AK Sah,2024-2024,7,7,1,132,62,22,118.91,-,1,1
Janakpur Bolts (NPL),,,,,,,,,,,
NB Sarki,2024-2024,1,1,1,22,22,-,183.33,-,-,-
Chitwan Rhinos (NPL),,,,,,,,,,,
A Saud,2024-2024,6,6,-,68,20,11.33,95.77,-,-,1
Lumbini Lions (NPL),,,,,,,,,,,
N Saud,2024-2024,8,3,1,14,10,7,107.69,-,-,-
Sudur Paschim Royals (NPL),,,,,,,,,,,
Shahab Alam,2024-2024,7,6,2,20,8,5,71.42,-,-,-
Kathmandu Gurkhas (NPL),,,,,,,,,,,
B Sharki,2024-2024,7,7,-,78,31,11.14,79.59,-,-,-
Kathmandu Gurkhas (NPL),,,,,,,,,,,
BP Sharma,2024-2024,8,2,-,-,-,-,-,-,-,2
Karnali Yaks (NPL),,,,,,,,,,,
A Shrestha,2024-2024,1,1,-,1,1,1,20,-,-,-
Sudur Paschim Royals (NPL),,,,,,,,,,,
P Shrestha,2024-2024,5,4,-,73,39,18.25,112.3,-,-,-
Kathmandu Gurkhas (NPL),,,,,,,,,,,
RR Simmonds,2024-2024,7,4,2,6,4,3,46.15,-,-,2
Lumbini Lions (NPL),,,,,,,,,,,
Sohail Tanvir,2024-2024,8,6,2,11,5,2.75,84.61,-,-,2
Chitwan Rhinos (NPL),,,,,,,,,,,
CB Sole,2024-2024,7,6,1,35,14,7,129.62,-,-,1
Biratnagar Kings (NPL),,,,,,,,,,,
Sompal Kami,2024-2024,9,6,3,52,29,17.33,152.94,-,-,-
Karnali Yaks (NPL),,,,,,,,,,,
NA Sowter,2024-2024,3,1,1,1,1,-,100,-,-,-
Kathmandu Gurkhas (NPL),,,,,,,,,,,
Subash Bhandari,2024-2024,3,1,-,6,6,6,60,-,-,-
Biratnagar Kings (NPL),,,,,,,,,,,
Surya Tamang,2024-2024,4,2,1,18,11,18,94.73,-,-,-
Lumbini Lions (NPL),,,,,,,,,,,
K Thagunna,2024-2024,3,2,-,33,32,16.5,110,-,-,-
Pokhara Avengers (NPL),,,,,,,,,,,
H Thaker,2024-2024,10,9,4,138,30,27.6,93.87,-,-,-
Janakpur Bolts (NPL),,,,,,,,,,,
UBS Thakuri,2024-2024,5,2,-,12,12,6,66.66,-,-,1
Karnali Yaks (NPL),,,,,,,,,,,
TB Thapa,2024-2024,3,-,-,-,-,-,-,-,-,-
Janakpur Bolts (NPL),,,,,,,,,,,
A Tripathi,2024-2024,3,3,1,19,13,9.5,63.33,-,-,-
Janakpur Bolts (NPL),,,,,,,,,,,
J Tromp,2024-2024,1,1,-,13,13,13,100,-,-,-
Janakpur Bolts (NPL),,,,,,,,,,,
