partners,runs,wickets,team,opposition,ground,match_date
"Mohammad Mohsin, BKEL Milantha",32,2nd,Janakpur,v S Paschim,Kirtipur,21-Dec-24
"I Pandey, NB Budayair",31,7th,S Paschim,v Chitwan,Kirtipur,8-Dec-24
"N Joshi, MJJ Critchley",30,8th,Pokhara,v Chitwan,Kirtipur,3-Dec-24
"Gulsan Jha, S Dhawan",30,4th,Karnali,v Kathmandu,Kirtipur,4-Dec-24
"S Karki, RS Bopara",30,5th,Chitwan,v Karnali,Kirtipur,18-Dec-24
"S Maharjan, DA Douthwaite",29,7th,Kathmandu,v Chitwan,Kirtipur,2-Dec-24
"S Rana, S Maharjan",29,5th,Kathmandu,v Chitwan,Kirtipur,2-Dec-24
"B Sharki, M Levitt",29,3rd,Kathmandu,v Karnali,Kirtipur,4-Dec-24
"RA Reifer, MA Leask",29,6th,Pokhara,v Janakpur,Kirtipur,5-Dec-24
"SC Kuggeleijn, DS Airee",29,6th,S Paschim,v Kathmandu,Kirtipur,5-Dec-24
"Zeeshan Maqsood, JA Kolsawala",29,2nd,Karnali,v Chitwan,Kirtipur,18-Dec-24
"SC Kuggeleijn, DS Airee",28,5th,S Paschim,v Lumbini,Kirtipur,7-Dec-24
"Kushal Malla, RS Bopara",28,4th,Chitwan,v S Paschim,Kirtipur,8-Dec-24
"Rashid Khan, MG Erasmus",28,5th,Kathmandu,v Janakpur,Kirtipur,12-Dec-24
