player,runs_scored_in_an_inns,minutes_batted,balls_faced,boundary_fours,boundary_sixes,strike_rate,team,opposition,ground,match_date
D Nath,27,-,24,-,2,112.50,Pokhara,v Kathmandu,Kirtipur,14 Dec 2024
P Shrestha,39,-,34,2,2,114.70,Kathmandu,v Biratnagar,Kirtipur,15 Dec 2024
RA Reifer,33,-,28,2,2,117.85,Pokhara,v S Paschim,Kirtipur,15 Dec 2024
AGS Gous,36,-,21,4,2,171.42,Pokhara,v S Paschim,Kirtipur,15 Dec 2024
B McMullen,23,-,16,1,2,143.75,S Paschim,v Pokhara,Kirtipur,15 Dec 2024
JA Kolsawala,53,-,39,6,2,135.89,Karnali,v Chitwan,Kirtipur,18 Dec 2024
WG Bosisto,52,-,39,3,2,133.33,Karnali,v Chitwan,Kirtipur,18 Dec 2024
SA Zaib,32,-,21,3,2,152.38,S Paschim,v Janakpur,Kirtipur,18 Dec 2024
Gulsan Jha,25,-,20,1,2,125.00,Karnali,v Janakpur,Kirtipur,19 Dec 2024
SA Zaib,69,-,43,8,2,160.46,S Paschim,v Janakpur,Kirtipur,21 Dec 2024
H Thaker,30,-,24,-,2,125.00,Janakpur,v S Paschim,Kirtipur,21 Dec 2024
Aasif Sheikh,33,-,19,4,2,173.68,Janakpur,v S Paschim,Kirtipur,21 Dec 2024
MJ Guptill,55,-,43,7,1,127.90,Biratnagar,v Janakpur,Kirtipur,30 Nov 2024
S Lamichhane,7,-,4,-,1,175.00,Biratnagar,v Janakpur,Kirtipur,30 Nov 2024
S Rana,16,-,17,1,1,94.11,Kathmandu,v Chitwan,Kirtipur,02 Dec 2024
M Levitt,25,-,16,4,1,156.25,Kathmandu,v Chitwan,Kirtipur,02 Dec 2024
S Karki,28,-,31,2,1,90.32,Chitwan,v Kathmandu,Kirtipur,02 Dec 2024
Hassan Eisakhil,12,-,7,1,1,171.42,Chitwan,v Kathmandu,Kirtipur,02 Dec 2024
Deepak Bohara,7,-,7,-,1,100.00,Chitwan,v Kathmandu,Kirtipur,02 Dec 2024
JDS Neesham,16,-,8,2,1,200.00,Janakpur,v Karnali,Kirtipur,02 Dec 2024
Sompal Kami,29,-,13,3,1,223.07,Karnali,v Janakpur,Kirtipur,02 Dec 2024
RP Magar,15,-,15,-,1,100.00,Biratnagar,v S Paschim,Kirtipur,03 Dec 2024
SA Zaib,14,-,15,-,1,93.33,S Paschim,v Biratnagar,Kirtipur,03 Dec 2024
CB Sole,9,-,7,-,1,128.57,Biratnagar,v S Paschim,Kirtipur,03 Dec 2024
I Pandey,21,-,16,2,1,131.25,S Paschim,v Biratnagar,Kirtipur,03 Dec 2024
AS Routela,13,-,6,-,1,216.66,Chitwan,v Pokhara,Kirtipur,03 Dec 2024
Bipin Khatri,9,-,8,-,1,112.50,Pokhara,v Chitwan,Kirtipur,03 Dec 2024
Hassan Eisakhil,14,-,10,1,1,140.00,Chitwan,v Pokhara,Kirtipur,03 Dec 2024
Babar Hayat,13,-,18,-,1,72.22,Karnali,v Kathmandu,Kirtipur,04 Dec 2024
M Levitt,22,-,19,2,1,115.78,Kathmandu,v Karnali,Kirtipur,04 Dec 2024
S Maharjan,40,-,37,3,1,108.10,Kathmandu,v Karnali,Kirtipur,04 Dec 2024
Saad Bin Zafar,15,-,13,-,1,115.38,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
CB Sole,14,-,4,2,1,350.00,Biratnagar,v Lumbini,Kirtipur,04 Dec 2024
A Ghiraiya,15,-,13,2,1,115.38,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
Pratis GC,6,-,3,-,1,200.00,Biratnagar,v Lumbini,Kirtipur,04 Dec 2024
