player,span,matches_played,innings_batted,not_out,runs,highest_inns_score,batting_average,balls_faced,strike_rate,hundreds_scored,fifties_scored,ducks_scored,boundary_fours,boundary_sixes
Saad Bin Zafar (LUL),2024-2024,7,6,-,83,52,13.83,63,131.74,-,1,3,5,2
A Gharti (KAY),2024-2024,9,7,1,79,33,13.16,72,109.72,-,-,-,5,3
RP Magar (BIK),2024-2024,5,5,1,78,33,19.5,72,108.33,-,-,-,2,5
B Sharki (KAG),2024-2024,7,7,-,78,31,11.14,98,79.59,-,-,-,6,1
P Shrestha (KAG),2024-2024,5,4,-,73,39,18.25,65,112.3,-,-,-,3,5
S Kansakar (JAB),2024-2024,10,6,1,71,26,14.2,76,93.42,-,-,1,7,3
Aarif Sheikh (SPR),2024-2024,9,8,2,69,42,11.5,71,97.18,-,-,1,5,1
A Saud (LUL),2024-2024,6,6,-,68,20,11.33,71,95.77,-,-,1,9,1
SC Kuggeleijn (SPR),2024-2024,9,7,2,66,16,13.2,45,146.66,-,-,-,7,2
Babar Hayat (KAY),2024-2024,5,5,-,65,20,13,84,77.38,-,-,-,4,3
SA Edwards (BIK),2024-2024,3,3,-,60,45,20,53,113.2,-,-,1,6,0
D Bohara (BIK),2024-2024,6,6,1,60,20,12,56,107.14,-,-,-,4,1
JA Kolsawala (KAY),2024-2024,2,2,-,54,53,27,43,125.58,-,1,-,6,2
B Rawal (CHR),2024-2024,8,5,-,54,18,10.8,64,84.37,-,-,-,7,0
K Bhurtel (POA),2024-2024,7,6,-,54,31,9,65,83.07,-,-,2,4,2
MJJ Critchley (POA),2024-2024,4,3,-,52,35,17.33,55,94.54,-,-,1,5,1
Sompal Kami (KAY),2024-2024,9,6,3,52,29,17.33,34,152.94,-,-,-,5,2
Karan KC (KAG),2024-2024,7,7,-,51,28,7.28,39,130.76,-,-,1,4,3
D Nath (POA),2024-2024,6,5,-,46,27,9.2,51,90.19,-,-,-,2,2
MA Leask (POA),2024-2024,7,6,-,44,25,7.33,35,125.71,-,-,1,1,4
A Ghiraiya (LUL),2024-2024,6,6,-,44,16,7.33,70,62.85,-,-,1,5,1
DA Douthwaite (KAG),2024-2024,4,4,1,42,21,14,52,80.76,-,-,-,2,2
Mohammad Mohsin (JAB),2024-2024,9,6,1,42,13,8.4,40,105,-,-,-,5,1
S Rana (KAG),2024-2024,4,4,1,41,16,13.66,51,80.39,-,-,-,3,1
S Vesawkar (CHR),2024-2024,4,4,4,38,11,-,46,82.6,-,-,-,2,0
