player_name,runs_scored,minutes_batted,balls_faced,boundary_fours,boundary_sixes,batting_strike_rate,team,opposition,ground,match_date
CAK Walton,30,-,19,-,3,157.89,Karnali,v Chitwan,Kirtipur,6-Dec-24
Zeeshan Maqsood,30,-,35,4,-,85.71,Karnali,v S Paschim,Kirtipur,16-Dec-24
H Thaker,29,-,33,2,-,87.87,Janakpur,v Biratnagar,Kirtipur,30-Nov-24
Sompal Kami,29,-,13,3,1,223.07,Karnali,v Janakpur,Kirtipur,2-Dec-24
S Maharjan,29,-,41,1,-,70.73,Kathmandu,v Chitwan,Kirtipur,2-Dec-24
S Karki,28,-,31,2,1,90.32,Chitwan,v Kathmandu,Kirtipur,2-Dec-24
Karan KC,28,-,10,2,2,280,Kathmandu,v Karnali,Kirtipur,4-Dec-24
MJ Guptill,28,-,17,6,-,164.7,Biratnagar,v Lumbini,Kirtipur,4-Dec-24
S Karki,28,-,25,3,1,112,Chitwan,v Biratnagar,Kirtipur,13-Dec-24
Hassan Eisakhil,28,-,19,4,1,147.36,Chitwan,v Janakpur,Kirtipur,14-Dec-24
JDS Neesham,27,-,17,1,3,158.82,Janakpur,v Kathmandu,Kirtipur,12-Dec-24
D Nath,27,-,24,-,2,112.5,Pokhara,v Kathmandu,Kirtipur,14-Dec-24
