player,catches_as_a_fielder,innings_in_match,team,opposition,ground,match_date
NK Yadav,2,2,Karnali,v Janakpur,Kirtipur,19 Dec 2024
LN Rajbanshi,2,1,Janakpur,v S Paschim,Kirtipur,21 Dec 2024
Mohammad Mohsin,1,1,Janakpur,v Biratnagar,Kirtipur,30 Nov 2024
A Yadav,1,1,Janakpur,v Biratnagar,Kirtipur,30 Nov 2024
Deepak Bohara,1,1,Chitwan,v Kathmandu,Kirtipur,02 Dec 2024
Hassan Eisakhil,1,1,Chitwan,v Kathmandu,Kirtipur,02 Dec 2024
S Karki,1,1,Chitwan,v Kathmandu,Kirtipur,02 Dec 2024
Kushal Malla,1,1,Chitwan,v Kathmandu,Kirtipur,02 Dec 2024
AS Routela,1,1,Chitwan,v Kathmandu,Kirtipur,02 Dec 2024
S Vesawkar,1,1,Chitwan,v Kathmandu,Kirtipur,02 Dec 2024
S Rana,1,2,Kathmandu,v Chitwan,Kirtipur,02 Dec 2024
JDS Neesham,1,1,Janakpur,v Karnali,Kirtipur,02 Dec 2024
D Khanal,1,2,Karnali,v Janakpur,Kirtipur,02 Dec 2024
MJ Guptill,1,1,Biratnagar,v S Paschim,Kirtipur,03 Dec 2024
DS Airee,1,2,S Paschim,v Biratnagar,Kirtipur,03 Dec 2024
B McMullen,1,2,S Paschim,v Biratnagar,Kirtipur,03 Dec 2024
Bipin Khatri,1,1,Pokhara,v Chitwan,Kirtipur,03 Dec 2024
MJJ Critchley,1,1,Pokhara,v Chitwan,Kirtipur,03 Dec 2024
LM Benkenstein,1,2,Chitwan,v Pokhara,Kirtipur,03 Dec 2024
RS Bopara,1,2,Chitwan,v Pokhara,Kirtipur,03 Dec 2024
Deepak Bohara,1,2,Chitwan,v Pokhara,Kirtipur,03 Dec 2024
S Karki,1,2,Chitwan,v Pokhara,Kirtipur,03 Dec 2024
Karan KC,1,1,Kathmandu,v Karnali,Kirtipur,04 Dec 2024
S Dhawan,1,2,Karnali,v Kathmandu,Kirtipur,04 Dec 2024
D Khanal,1,2,Karnali,v Kathmandu,Kirtipur,04 Dec 2024
Sompal Kami,1,2,Karnali,v Kathmandu,Kirtipur,04 Dec 2024
NK Yadav,1,2,Karnali,v Kathmandu,Kirtipur,04 Dec 2024
MJ Guptill,1,1,Biratnagar,v Lumbini,Kirtipur,04 Dec 2024
Pratis GC,1,1,Biratnagar,v Lumbini,Kirtipur,04 Dec 2024
BCJ Cutting,1,2,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
S Jora,1,2,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
RK Paudel,1,2,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
Saad Bin Zafar,1,2,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
RR Simmonds,1,2,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
TB Thapa,1,1,Janakpur,v Pokhara,Kirtipur,05 Dec 2024
Bipin Khatri,1,2,Pokhara,v Janakpur,Kirtipur,05 Dec 2024
S Dhakal,1,2,Pokhara,v Janakpur,Kirtipur,05 Dec 2024
M Levitt,1,1,Kathmandu,v S Paschim,Kirtipur,05 Dec 2024
Shahab Alam,1,1,Kathmandu,v S Paschim,Kirtipur,05 Dec 2024
NB Budayair,1,2,S Paschim,v Kathmandu,Kirtipur,05 Dec 2024
B McMullen,1,2,S Paschim,v Kathmandu,Kirtipur,05 Dec 2024
Rohan Mustafa,1,2,S Paschim,v Kathmandu,Kirtipur,05 Dec 2024
N Saud,1,2,S Paschim,v Kathmandu,Kirtipur,05 Dec 2024
Gulsan Jha,1,1,Karnali,v Chitwan,Kirtipur,06 Dec 2024
D Khanal,1,1,Karnali,v Chitwan,Kirtipur,06 Dec 2024
JN Loftie-Eaton,1,2,Chitwan,v Karnali,Kirtipur,06 Dec 2024
RA Reifer,1,1,Pokhara,v Lumbini,Kirtipur,06 Dec 2024
UBT Chand,1,1,Lumbini,v S Paschim,Kirtipur,07 Dec 2024
S Jora,1,1,Lumbini,v S Paschim,Kirtipur,07 Dec 2024
DS Airee,1,2,S Paschim,v Lumbini,Kirtipur,07 Dec 2024
NB Budayair,1,2,S Paschim,v Lumbini,Kirtipur,07 Dec 2024
B Khatri,1,2,S Paschim,v Lumbini,Kirtipur,07 Dec 2024
Basir Ahamad,1,1,Biratnagar,v Karnali,Kirtipur,07 Dec 2024
A Gharti,1,2,Karnali,v Biratnagar,Kirtipur,07 Dec 2024
UBS Thakuri,1,2,Karnali,v Biratnagar,Kirtipur,07 Dec 2024
D Gupta,1,1,Lumbini,v Janakpur,Kirtipur,08 Dec 2024
K Mahato,1,2,Janakpur,v Lumbini,Kirtipur,08 Dec 2024
LN Rajbanshi,1,2,Janakpur,v Lumbini,Kirtipur,08 Dec 2024
H Thaker,1,2,Janakpur,v Lumbini,Kirtipur,08 Dec 2024
SC Kuggeleijn,1,1,S Paschim,v Chitwan,Kirtipur,08 Dec 2024
Deepak Bohara,1,2,Chitwan,v S Paschim,Kirtipur,08 Dec 2024
R Dhakal,1,2,Chitwan,v S Paschim,Kirtipur,08 Dec 2024
R Kumar,1,2,Chitwan,v S Paschim,Kirtipur,08 Dec 2024
JN Loftie-Eaton,1,2,Chitwan,v S Paschim,Kirtipur,08 Dec 2024
LM Benkenstein,1,1,Chitwan,v Lumbini,Kirtipur,10 Dec 2024
Kushal Malla,1,1,Chitwan,v Lumbini,Kirtipur,10 Dec 2024
