player,catches_as_a_fielder,team,opposition,ground,match_date
Pratis GC,1,Biratnagar,v Lumbini,Kirtipur,04 Dec 2024
RR Simmonds,1,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
Bipin Khatri,1,Pokhara,v Janakpur,Kirtipur,05 Dec 2024
S Dhakal,1,Pokhara,v Janakpur,Kirtipur,05 Dec 2024
TB Thapa,1,Janakpur,v Pokhara,Kirtipur,05 Dec 2024
Rohan Mustafa,1,S Paschim,v Kathmandu,Kirtipur,05 Dec 2024
NB Budayair,1,S Paschim,v Kathmandu,Kirtipur,05 Dec 2024
B McMullen,1,S Paschim,v Kathmandu,Kirtipur,05 Dec 2024
M Levitt,1,Kathmandu,v S Paschim,Kirtipur,05 Dec 2024
Shahab Alam,1,Kathmandu,v S Paschim,Kirtipur,05 Dec 2024
N Saud,1,S Paschim,v Kathmandu,Kirtipur,05 Dec 2024
JN Loftie-Eaton,1,Chitwan,v Karnali,Kirtipur,06 Dec 2024
D Khanal,1,Karnali,v Chitwan,Kirtipur,06 Dec 2024
Gulsan Jha,1,Karnali,v Chitwan,Kirtipur,06 Dec 2024
RA Reifer,1,Pokhara,v Lumbini,Kirtipur,06 Dec 2024
NB Budayair,1,S Paschim,v Lumbini,Kirtipur,07 Dec 2024
UBT Chand,1,Lumbini,v S Paschim,Kirtipur,07 Dec 2024
DS Airee,1,S Paschim,v Lumbini,Kirtipur,07 Dec 2024
B Khatri,1,S Paschim,v Lumbini,Kirtipur,07 Dec 2024
S Jora,1,Lumbini,v S Paschim,Kirtipur,07 Dec 2024
Basir Ahamad,1,Biratnagar,v Karnali,Kirtipur,07 Dec 2024
A Gharti,1,Karnali,v Biratnagar,Kirtipur,07 Dec 2024
UBS Thakuri,1,Karnali,v Biratnagar,Kirtipur,07 Dec 2024
LN Rajbanshi,1,Janakpur,v Lumbini,Kirtipur,08 Dec 2024
H Thaker,1,Janakpur,v Lumbini,Kirtipur,08 Dec 2024
K Mahato,1,Janakpur,v Lumbini,Kirtipur,08 Dec 2024
D Gupta,1,Lumbini,v Janakpur,Kirtipur,08 Dec 2024
SC Kuggeleijn,1,S Paschim,v Chitwan,Kirtipur,08 Dec 2024
JN Loftie-Eaton,1,Chitwan,v S Paschim,Kirtipur,08 Dec 2024
R Dhakal,1,Chitwan,v S Paschim,Kirtipur,08 Dec 2024
Deepak Bohara,1,Chitwan,v S Paschim,Kirtipur,08 Dec 2024
R Kumar,1,Chitwan,v S Paschim,Kirtipur,08 Dec 2024
Saad Bin Zafar,1,Lumbini,v Chitwan,Kirtipur,10 Dec 2024
UBT Chand,1,Lumbini,v Chitwan,Kirtipur,10 Dec 2024
